Test Code , Test Case , Test Steps, Expected Result, Actual Result , Pass/Fail
SM-BT-AUTH-01 , Login dengan akun yang terdaftar, 1. Mengakses sistem admin 2. Mengisi form username dan password yang terdaftar 3. Menekan tombol 'Login', Halaman akan berpindah ke halaman utama, Sesuai, Pass
SM-BT-AUTH-02 , Login dengan akun yang tidak terdaftar, 1. Mengakses sistem admin 2. Mengisi form username dan password yang tidak terdaftar 3. Menekan tombol 'Login' , Sistem akan menampilkan pesan error di halaman login , Sesuai, Pass
SM-BT-AUTH-03 , Mengakses halaman login dalam kondisi telah terautentikasi , 1. Mengakses halaman login sistem admin, Halaman akan berpindah ke halaman utama, Sesuai, Pass
SM-BT-AUTH-04 , Melakukan logout, 1. Mengakses sistem admin 2. Menekan tombol Logout , Halaman akan berpindah ke halaman Login , Sesuai, Pass

