Test Code, Test Case, Test Steps, Expected Result, Actual Result , Pass/Fail
SM-T-ES-03 , Mengunduh laporan dalam rentang waktu yang sama, 1. Membuka halaman Engine Speed 2. Menekan tombol 'Generate Report' 3. Memilih tanggal yang sama pada input From dan To 4. Menekan tombol 'Generate', Laporan yang diunduh akan memuat data sesuai dengan tanggal yang dipilih, Sesuai, PASSED
SM-T-ES-04 , Mengunduh laporan dalam rentang waktu yang berbeda , 1. Membuka halaman Engine Speed 2. Menekan tombol 'Generate Report' 3. Memilih tanggal yang berbeda pada input From dan To 4. Menekan tombol 'Generate', Laporan yang diunduh akan memuat data sesuai dengan rentang tanggal yang dipilih , Sesuai, PASSED
SM-T-ES-05 , Tanggal input To lebih rendah dari From, 1. Membuka halaman Engine Speed 2. Menekan tombol 'Generate Report' 3. Memilih tanggal input From 4. Memilih tanggal yang lebih rendah pada input To  4. Menekan tombol 'Generate' , Sistem akan menampilkan error tanggal To tidak dapat lebih rendah dari From, Sesuai, PASSED

